edge_slice_demand;k_1= (7,1,3);k_2= (3,15,3);k_3= (12,4,3);k_4= (5,4,3);k_5= (16,6,6);k_6= (3,6,6);k_7= (1,17,6);k_8= (16,15,3);k_9= (12,10,3);k_10= (17,15,6);k_11= (2,6,3);k_12= (2,3,3);k_13= (11,6,3);k_14= (17,4,3);k_15= (1,8,3);k_16= (9,11,6);k_17= (10,1,6);k_18= (3,6,6);k_19= (16,9,3);k_20= (4,16,6);
[1,5]; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[1,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,15];1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,17]; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ;
[1,18]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;
[2,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[2,10]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[2,16]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[3,5]; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,6]; ; ; ; ; ;1; ; ; ; ;1; ;1; ; ; ; ; ; ; ;
[3,11]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;
[3,18]; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;
[4,7];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,9]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,12]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[4,13]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,15];1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[4,16]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[5,9]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,10]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[5,18]; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;
[6,11]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
[7,11]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[7,16]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,12]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,13]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,17]; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;
[9,10]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ;
[9,15]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[10,16]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ;
[11,16]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[12,13]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[13,15]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[14,17]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[14,18]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[15,17]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[8,15]; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
 slice allocation ;4;11;3;8;6;9;11;3;3;6;12;3;3;12;3;9;6;12;6;6;
