edge_slice_demand;k_1= (3,6,3);k_2= (8,12,3);k_3= (13,5,3);k_4= (11,4,4);k_5= (8,5,3);k_6= (5,16,4);k_7= (1,17,4);k_8= (8,6,3);k_9= (3,5,3);k_10= (1,4,4);k_11= (6,5,3);k_12= (8,6,3);k_13= (11,2,3);k_14= (14,4,4);k_15= (7,16,4);k_16= (13,7,4);k_17= (8,5,3);k_18= (16,17,3);k_19= (7,4,4);k_20= (3,11,3);
[1,3]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,9]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[3,5];1; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ;1;
[4,5]; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ;
[4,10]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[5,9];1; ; ; ;1; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;
[5,10]; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,11]; ; ; ; ; ;1; ; ; ; ; ; ;1;1; ; ;1; ; ;1;
[6,7]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[6,9];1; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ;
[7,8]; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;1; ; ;1; ;
[8,9]; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[8,11]; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1; ;1; ;
[10,11]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[10,13]; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[11,12]; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[11,13]; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ;
[12,14]; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[13,15]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[13,17]; ; ; ; ; ;1;1; ; ; ; ; ; ; ;1; ; ; ; ; ;
[14,15]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[15,16]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[16,17]; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ;
 slice allocation ;3;8;40;40;16;31;23;40;6;40;30;23;3;16;16;40;26;40;12;40;
